# Simulation 2 (Up to date)
# 1124 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-4.825e-4,-0.097,-9.65,0.097,9.65,0,0,0,0,0,0,28.61,-80.6,9.792,91.063,0,0,0,3.933e4,1.227e4,74.534,0.106,NaN,358.652,NaN,0.015,1.795e6,5.579,-3.559e-6,0.698,-1.11e-5,0.519,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.236e-5,15.7,193.593,90,0,5.199,15,1013.25,340.389,0.01,0.005
0.02,-4.683e-4,-0.094,-9.367,0.094,9.367,0,0,0,0,0,0,28.61,-80.6,9.792,91.04,0,0,0,3.933e4,1.227e4,74.534,0.106,NaN,358.651,NaN,0.015,1.78e6,16.737,-3.285e-6,0.699,-1.041e-5,0.52,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.199e-5,15.7,193.593,90,0,5.157,15,1013.25,340.389,0.01,0.005
0.03,-4.541e-4,-0.091,-9.083,0.091,9.083,0,0,0,0,0,0,28.61,-80.6,9.792,91.017,0,0,0,3.933e4,1.227e4,74.534,0.106,NaN,358.651,NaN,0.015,1.766e6,27.894,-3.025e-6,0.7,-9.745e-6,0.521,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.163e-5,15.7,193.593,90,0,5.115,15,1013.25,340.389,0.01,0.006
0.04,-3.721e-4,-0.074,-7.443,0.074,7.443,0,0,0,0,0,0,28.61,-80.6,9.792,90.841,0,0,0,3.933e4,1.227e4,74.53,0.106,NaN,358.643,NaN,0.015,1.751e6,92.397,-1.683e-6,0.701,-5.513e-6,0.521,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.53e-6,15.7,193.593,90,0,5.073,15,1013.25,340.389,0.01,0.006
0.05,3.373e-4,0.067,6.748,0.067,6.748,0,0,0,0,0,0,28.61,-80.6,9.792,89.232,0,0,0,3.932e4,1.226e4,74.521,0.106,NaN,358.623,NaN,0.015,1.737e6,650.337,1.266e-6,0.702,4.217e-6,0.522,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.637e-6,15.7,193.593,90,0,5.031,15,1013.25,340.389,0.01,0.006
0.06,0.002,0.307,23.997,0.307,23.997,0,0,0,0,0,0,28.61,-80.6,9.792,86.506,0,0,0,3.931e4,1.225e4,74.513,0.106,NaN,358.603,NaN,0.015,1.741e6,1328.303,1.163e-4,0.701,3.854e-4,0.522,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.936e-5,15.7,193.593,90,0,5.035,15,1013.25,340.389,0.01,0.007
0.07,0.007,0.72,41.253,0.72,41.253,0,0,0,0,0,0,28.61,-80.6,9.792,81.869,0,0,0,3.93e4,1.224e4,74.504,0.106,NaN,358.583,NaN,0.015,1.756e6,2006.269,0.001,0.7,0.005,0.521,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.217e-5,15.7,193.593,90,0,5.038,15,1013.249,340.389,0.01,0.007
0.08,0.017,1.302,58.27,1.302,58.27,0,0,0,0,0,0,28.61,-80.6,9.792,75.515,0,0,0,3.929e4,1.223e4,74.493,0.106,NaN,358.558,NaN,0.015,1.797e6,2674.454,0.008,0.698,0.024,0.519,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.668e-4,15.7,193.593,90,0,5.042,15,1013.248,340.389,0.01,0.007
# Event LIFTOFF occurred at t=0.09 seconds
0.09,0.034,1.973,67.096,1.973,67.096,0,0,0,0,0,0,28.61,-80.6,9.792,68.639,0,0,0,3.928e4,1.221e4,74.474,0.106,NaN,358.512,NaN,0.016,1.87e6,3019.903,0.025,0.694,0.071,0.515,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.526e-4,15.7,193.593,90,0,5.045,15,1013.246,340.389,0.01,0.008
0.1,0.057,2.693,71.944,2.693,71.944,0,0,0,0,0,0,28.61,-80.6,9.792,61.928,0,0,0,3.926e4,1.22e4,74.454,0.106,NaN,358.467,NaN,0.017,1.975e6,3208.872,0.056,0.689,0.145,0.51,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.447e-4,15.7,193.593,90,0,5.049,15,1013.243,340.389,0.01,0.008
0.11,0.088,3.46,76.795,3.46,76.795,0,0,0,0,0,0,28.61,-80.6,9.792,55.587,0,0,0,3.924e4,1.218e4,74.435,0.106,NaN,358.421,NaN,0.018,2.113e6,3397.841,0.107,0.683,0.24,0.503,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.43e-4,15.7,193.593,90,0,5.051,14.999,1013.24,340.389,0.01,0.008
0.12,0.127,4.277,81.651,4.277,81.651,0,0,0,0,0,0,28.61,-80.6,9.792,49.76,0,0,0,3.922e4,1.216e4,74.415,0.106,NaN,358.375,NaN,0.019,2.285e6,3586.811,0.179,0.676,0.345,0.496,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.476e-4,15.7,193.593,90,0,5.054,14.999,1013.235,340.388,0.01,0.009
0.13,0.174,5.134,85.763,5.134,85.763,0,0,0,0,0,0,28.61,-80.6,9.792,44.562,0,0,0,3.92e4,1.214e4,74.394,0.106,NaN,358.327,NaN,0.021,2.487e6,3746.406,0.275,0.668,0.447,0.489,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.573e-4,15.7,193.593,90,0,5.056,14.999,1013.23,340.388,0.01,0.009
0.14,0.229,5.988,85.384,5.988,85.384,0,0,0,0,0,0,28.61,-80.6,9.792,40.192,0,0,0,3.918e4,1.212e4,74.372,0.106,NaN,358.276,NaN,0.023,2.705e6,3729.754,0.388,0.661,0.533,0.481,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.666e-4,15.7,193.593,90,0,5.059,14.999,1013.223,340.388,0.01,0.009
0.15,0.293,6.83,84.253,6.83,84.253,0,0,0,0,0,0,28.61,-80.6,9.792,36.539,0,0,0,3.916e4,1.21e4,74.35,0.106,NaN,358.225,NaN,0.025,2.934e6,3683.729,0.516,0.654,0.602,0.474,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.745e-4,15.7,193.593,90,0,5.061,14.998,1013.216,340.388,0.01,0.01
0.16,0.366,7.661,83.149,7.661,83.149,0,0,0,0,0,0,28.61,-80.6,9.792,33.128,0,0,0,3.914e4,1.208e4,74.329,0.106,NaN,358.175,NaN,0.027,3.157e6,3638.793,0.657,0.647,0.662,0.468,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.809e-4,15.7,193.593,90,0,5,14.998,1013.207,340.387,0.01,0.01
0.17,0.447,8.486,82.482,8.486,82.482,0,0,0,0,0,0,28.61,-80.6,9.792,30.197,0,0,0,3.913e4,1.206e4,74.308,0.106,NaN,358.126,NaN,0.029,3.388e6,3611.061,0.808,0.642,0.707,0.462,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.7,193.593,90,0,4.938,14.997,1013.198,340.387,0.01,0.01
0.18,0.536,9.305,81.966,9.305,81.966,0,0,0,0,0,0,28.61,-80.6,9.792,27.659,0,0,0,3.911e4,1.204e4,74.286,0.105,NaN,358.076,NaN,0.031,3.626e6,3589.264,0.969,0.636,0.741,0.457,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.7,193.593,90,0,4.877,14.997,1013.187,340.387,0.01,0.011
0.19,0.633,10.12,81.449,10.12,81.449,0,0,0,0,0,0,28.61,-80.6,9.792,25.448,0,0,0,3.909e4,1.203e4,74.265,0.105,NaN,358.027,NaN,0.033,3.867e6,3567.468,1.138,0.631,0.764,0.452,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.7,193.593,90,0,4.816,14.996,1013.176,340.386,0.01,0.011
0.2,0.738,10.929,80.931,10.929,80.931,0,0,0,0,0,0,28.61,-80.6,9.792,23.51,0,0,0,3.907e4,1.201e4,74.244,0.105,NaN,357.977,NaN,0.035,4.113e6,3545.671,1.313,0.626,0.78,0.447,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.7,193.593,90,0,4.754,14.995,1013.163,340.386,0.01,0.011
0.21,0.851,11.736,80.728,11.736,80.728,0,0,0,0,0,0,28.61,-80.6,9.792,21.828,0,0,0,3.905e4,1.199e4,74.223,0.105,NaN,357.928,NaN,0.037,4.363e6,3536.213,1.495,0.622,0.789,0.442,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.701,14.994,1013.15,340.386,0.01,0.012
0.22,0.973,12.544,80.842,12.544,80.842,0,0,0,0,0,0,28.61,-80.6,9.792,20.328,0,0,0,3.903e4,1.197e4,74.201,0.105,NaN,357.878,NaN,0.039,4.616e6,3539.092,1.686,0.619,0.795,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.647,14.994,1013.136,340.385,0.01,0.012
0.23,1.102,13.353,80.954,13.353,80.954,0,0,0,0,0,0,28.61,-80.6,9.792,18.984,0,0,0,3.901e4,1.195e4,74.18,0.105,NaN,357.829,NaN,0.041,4.873e6,3541.972,1.893,0.619,0.801,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.594,14.993,1013.121,340.385,0.01,0.012
0.24,1.24,14.164,81.067,14.164,81.067,0,0,0,0,0,0,28.61,-80.6,9.792,17.773,0,0,0,3.899e4,1.193e4,74.159,0.105,NaN,357.78,NaN,0.044,5.133e6,3544.851,2.108,0.619,0.804,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.54,14.992,1013.105,340.384,0.01,0.012
0.25,1.385,14.975,81.18,14.975,81.18,0,0,0,0,0,0,28.61,-80.6,9.792,16.679,0,0,0,3.897e4,1.191e4,74.138,0.105,NaN,357.73,NaN,0.046,5.395e6,3547.73,2.33,0.619,0.804,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.487,14.991,1013.088,340.383,0.01,0.013
0.26,1.539,15.788,81.292,15.788,81.292,0,0,0,0,0,0,28.61,-80.6,9.792,15.935,0,0,0,3.895e4,1.189e4,74.116,0.105,NaN,357.68,NaN,0.048,5.666e6,3550.61,2.564,0.619,0.802,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.508,14.99,1013.069,340.383,0.01,0.013
0.27,1.701,16.602,81.405,16.602,81.405,0,0,0,0,0,0,28.61,-80.6,9.792,15.258,0,0,0,3.893e4,1.187e4,74.095,0.105,NaN,357.631,NaN,0.051,5.938e6,3553.489,2.805,0.619,0.799,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.529,14.989,1013.05,340.382,0.01,0.013
0.28,1.871,17.417,81.517,17.417,81.517,0,0,0,0,0,0,28.61,-80.6,9.792,14.64,0,0,0,3.892e4,1.185e4,74.074,0.105,NaN,357.581,NaN,0.053,6.212e6,3556.369,3.053,0.619,0.795,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.55,14.988,1013.031,340.382,0.01,0.014
0.29,2.049,18.233,81.629,18.233,81.629,0,0,0,0,0,0,28.61,-80.6,9.792,14.073,0,0,0,3.89e4,1.183e4,74.052,0.105,NaN,357.531,NaN,0.055,6.486e6,3559.248,3.308,0.619,0.79,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.571,14.987,1013.01,340.381,0.01,0.014
0.3,2.236,19.05,81.742,19.05,81.742,0,0,0,0,0,0,28.61,-80.6,9.792,13.552,0,0,0,3.888e4,1.182e4,74.031,0.105,NaN,357.482,NaN,0.058,6.762e6,3562.127,3.572,0.619,0.785,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.7,193.593,90,0,4.592,14.985,1012.988,340.38,0.01,0.014
0.31,2.43,19.869,81.854,19.869,81.854,0,0,0,0,0,0,28.61,-80.6,9.792,13.093,0,0,0,3.886e4,1.18e4,74.009,0.105,NaN,357.432,NaN,0.06,7.039e6,3565.007,3.845,0.619,0.78,0.439,0.059,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.621,14.984,1012.965,340.379,0.01,0.014
0.32,2.633,20.688,81.965,20.688,81.965,0,0,0,0,0,0,28.61,-80.6,9.792,12.668,0,0,0,3.884e4,1.178e4,73.988,0.105,NaN,357.382,NaN,0.062,7.316e6,3567.886,4.128,0.619,0.774,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.65,14.983,1012.941,340.379,0.01,0.015
0.33,2.844,21.509,82.077,21.509,82.077,0,0,0,0,0,0,28.61,-80.6,9.792,12.273,0,0,0,3.882e4,1.176e4,73.967,0.105,NaN,357.332,NaN,0.065,7.595e6,3570.766,4.419,0.619,0.769,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.679,14.982,1012.916,340.378,0.01,0.015
0.34,3.063,22.33,82.189,22.33,82.189,0,0,0,0,0,0,28.61,-80.6,9.792,11.906,0,0,0,3.88e4,1.174e4,73.945,0.105,NaN,357.282,NaN,0.067,7.874e6,3573.645,4.72,0.619,0.765,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.708,14.98,1012.891,340.377,0.01,0.015
0.35,3.291,23.153,82.3,23.153,82.3,0,0,0,0,0,0,28.61,-80.6,9.792,11.563,0,0,0,3.878e4,1.172e4,73.924,0.105,NaN,357.232,NaN,0.069,8.154e6,3576.524,5.03,0.619,0.76,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.737,14.979,1012.864,340.376,0.01,0.015
0.36,3.527,23.977,82.412,23.977,82.412,0,0,0,0,0,0,28.61,-80.6,9.792,11.204,0,0,0,3.876e4,1.17e4,73.902,0.105,NaN,357.182,NaN,0.072,8.433e6,3579.404,5.344,0.619,0.755,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.75,14.977,1012.836,340.375,0.01,0.016
0.37,3.77,24.802,82.523,24.802,82.523,0,0,0,0,0,0,28.61,-80.6,9.792,10.868,0,0,0,3.874e4,1.168e4,73.881,0.105,NaN,357.132,NaN,0.074,8.713e6,3582.283,5.668,0.619,0.75,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.762,14.975,1012.808,340.374,0.01,0.016
0.38,4.023,25.628,82.635,25.628,82.635,0,0,0,0,0,0,28.61,-80.6,9.792,10.552,0,0,0,3.872e4,1.166e4,73.859,0.105,NaN,357.082,NaN,0.077,8.994e6,3585.163,6,0.619,0.745,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.774,14.974,1012.778,340.373,0.01,0.016
0.39,4.283,26.456,82.746,26.456,82.746,0,0,0,0,0,0,28.61,-80.6,9.792,10.255,0,0,0,3.871e4,1.164e4,73.838,0.105,NaN,357.032,NaN,0.079,9.275e6,3588.042,6.342,0.619,0.74,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.787,14.972,1012.748,340.372,0.01,0.017
0.4,4.552,27.284,82.857,27.284,82.857,0,0,0,0,0,0,28.61,-80.6,9.792,9.975,0,0,0,3.869e4,1.162e4,73.816,0.105,NaN,356.981,NaN,0.081,9.557e6,3590.921,6.694,0.619,0.736,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,15.7,193.593,90,0,4.799,14.97,1012.716,340.371,0.01,0.017
0.41,4.829,28.113,82.967,28.113,82.967,0,0,0,0,0,0,28.61,-80.6,9.792,9.808,0,0,0,3.867e4,1.161e4,73.794,0.105,NaN,356.931,NaN,0.084,9.843e6,3593.801,7.075,0.619,0.733,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.7,193.593,90,0,4.86,14.969,1012.684,340.37,0.01,0.017
0.42,5.114,28.944,83.076,28.944,83.076,0,0,0,0,0,0,28.61,-80.6,9.792,9.649,0,0,0,3.865e4,1.159e4,73.773,0.105,NaN,356.88,NaN,0.086,1.013e7,3596.607,7.466,0.619,0.731,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.7,193.593,90,0,4.921,14.967,1012.65,340.369,0.01,0.017
# Event LAUNCHROD occurred at t=0.43 seconds
0.43,5.408,29.775,83.154,29.775,83.154,0,0,0,0,0,0,28.61,-80.6,9.792,9.499,0,0,0,3.863e4,1.157e4,73.751,0.105,NaN,356.829,NaN,0.089,1.041e7,3598.26,7.868,0.619,0.728,0.439,0.059,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,15.7,193.593,90,0,4.982,14.965,1012.616,340.368,0.01,0.018
0.445,5.864,31.024,83.249,31.024,83.253,-8.807e-5,0,8.807e-5,-180,0.012,0.808,28.61,-80.6,9.792,9.268,0,-0.033,-6.05e-7,3.86e4,1.154e4,73.718,0.105,347.871,356.753,-0.566,0.092,1.084e7,3599.828,8.487,0.619,0.725,0.439,0.059,0.121,2.648,-1.498,-1.533e-4,0,0,0,0,-1.144e-5,0.004,15.7,193.593,90,179.992,5.074,14.962,1012.562,340.366,0.015,0.018
0.468,6.583,32.899,83.392,32.899,83.396,-5.615e-4,0,5.615e-4,-180,0.03,0.828,28.61,-80.6,9.792,8.671,0,-0.077,1.045e-5,3.856e4,1.149e4,73.669,0.105,349.935,356.637,-0.427,0.098,1.148e7,3602.181,9.386,0.619,0.715,0.439,0.059,0.121,2.413,-1.031,-4.122e-4,0,0,0,0,-5.542e-5,0.004,15.7,193.593,89.999,179.997,5.047,14.957,1012.478,340.363,0.023,0.019
0.501,7.741,35.719,83.605,35.719,83.609,-0.002,0,0.002,-180,0.059,0.846,28.61,-80.6,9.792,7.794,0,-0.117,-2.487e-5,3.849e4,1.143e4,73.594,0.105,353.194,356.464,-0.208,0.106,1.243e7,3605.71,10.796,0.62,0.701,0.439,0.059,0.121,2.083,-0.434,-1.179e-4,0,0,0,0,-1.11e-4,0.005,15.7,193.593,89.995,180,4.945,14.95,1012.342,340.358,0.034,0.019
0.551,9.631,39.91,83.912,39.91,83.917,-0.006,-1.626e-8,0.006,-180,0.104,0.965,28.61,-80.6,9.792,7.245,0,-0.144,-3.055e-5,3.839e4,1.133e4,73.484,0.105,355.403,356.206,-0.051,0.118,1.387e7,3610.964,13.277,0.62,0.692,0.439,0.06,0.122,1.886,-0.097,6.726e-5,0,0,0,0,-1.344e-4,0.005,15.7,193.593,89.988,179.999,5.169,14.937,1012.12,340.351,0.05,0.02
0.601,11.732,44.118,84.243,44.118,84.249,-0.013,-4.752e-8,0.013,-180,0.154,1.038,28.61,-80.6,9.792,6.54,0,-0.132,-4.849e-6,3.83e4,1.124e4,73.373,0.105,358.417,355.947,0.157,0.13,1.531e7,3617.237,15.921,0.62,0.682,0.438,0.06,0.122,1.644,0.259,2.903e-4,0,0,0,0,-9.193e-5,0.006,15.7,193.593,89.981,179.999,5.198,14.924,1011.874,340.343,0.05,0.02
0.651,14.043,48.342,84.574,48.343,84.58,-0.022,-1.025e-7,0.022,-180,0.206,1.024,28.61,-80.6,9.792,5.596,0,-0.059,6.504e-6,3.82e4,1.114e4,73.261,0.104,362.824,355.686,0.455,0.143,1.675e7,3623.511,18.659,0.621,0.668,0.438,0.06,0.123,1.339,0.609,-3.137e-4,0,0,0,0,-1.569e-5,0.006,15.7,193.593,89.976,179.998,4.922,14.909,1011.603,340.334,0.05,0.02
0.701,16.566,52.583,84.901,52.584,84.908,-0.033,-1.895e-7,0.033,-180,0.257,1.046,28.61,-80.6,9.792,4.991,0,0.071,4.292e-5,3.81e4,1.104e4,73.148,0.104,365.912,355.423,0.668,0.155,1.819e7,3629.911,21.761,0.621,0.66,0.438,0.06,0.123,1.156,0.772,8.246e-5,0,0,0,0,1.903e-5,0.007,15.7,193.593,89.976,180,4.828,14.892,1011.307,340.324,0.05,0.021
0.751,19.302,56.841,85.23,56.842,85.237,-0.047,-3.23e-7,0.047,-180,0.312,1.132,28.61,-80.6,9.792,4.745,0,0.248,2.124e-5,3.801e4,1.094e4,73.034,0.104,367.253,355.157,0.77,0.168,1.966e7,3636.674,25.294,0.621,0.657,0.438,0.06,0.124,1.085,0.836,1.825e-4,0,0,0,0,1.973e-4,0.007,15.7,193.593,89.984,-179.99,5.015,14.875,1010.986,340.313,0.05,0.021
0.801,22.251,61.115,85.561,61.116,85.567,-0.064,-5.226e-7,0.064,-180,0.367,1.053,28.61,-80.6,9.792,4.07,0,0.475,-5.426e-6,3.791e4,1.085e4,72.92,0.104,371.069,354.889,1.031,0.18,2.111e7,3643.459,28.825,0.622,0.649,0.438,0.06,0.124,0.895,0.922,4.4e-4,0,0,0,0,6.283e-4,0.008,15.7,193.593,89.998,-0.136,4.718,14.855,1010.64,340.301,0.05,0.021
0.851,25.414,65.406,85.877,65.407,85.884,-0.084,-8.061e-7,0.084,-179.999,0.422,1.137,28.61,-80.6,9.792,4.012,0,0.748,4.143e-5,3.781e4,1.075e4,72.805,0.104,371.454,354.621,1.072,0.193,2.259e7,3650.244,32.994,0.622,0.649,0.438,0.06,0.125,0.88,0.942,7.657e-5,0,0,0,0,0.001,0.008,15.7,193.593,89.968,-0.008,5.046,14.835,1010.269,340.289,0.05,0.022
0.901,28.792,69.712,86.197,69.714,86.203,-0.106,-1.179e-6,0.106,-179.999,0.475,0.974,28.61,-80.6,9.792,3.39,0,1.068,-1.558e-4,3.771e4,1.065e4,72.69,0.104,375.292,354.351,1.334,0.205,2.405e7,3657.029,37.05,0.623,0.642,0.437,0.06,0.125,0.716,0.954,-4.712e-5,0,0,0,0,0.002,0.009,15.7,193.593,89.922,-0.002,4.699,14.813,1009.873,340.275,0.05,0.022
0.951,32.385,74.034,86.505,74.036,86.51,-0.131,-1.642e-6,0.131,-179.999,0.523,0.939,28.61,-80.6,9.792,3.221,0,1.43,-4.625e-5,3.762e4,1.055e4,72.574,0.104,376.422,354.08,1.423,0.218,2.553e7,3663.815,41.689,0.624,0.641,0.437,0.06,0.126,0.674,0.955,2.486e-4,0,0,0,0,0.004,0.009,15.7,193.593,89.86,2.296e-4,4.87,14.789,1009.452,340.261,0.05,0.022
1.001,36.196,78.369,86.751,78.371,86.754,-0.159,-2.184e-6,0.159,-179.999,0.563,0.682,28.61,-80.6,9.792,2.664,0,1.828,-1.309e-4,3.752e4,1.046e4,72.457,0.104,380.21,353.806,1.682,0.231,2.701e7,3668.217,46.318,0.624,0.637,0.437,0.06,0.127,0.539,0.9,1.59e-4,0,0,0,0,0.006,0.01,15.7,193.593,89.779,0.001,4.513,14.765,1009.005,340.246,0.05,0.023
1.051,40.222,82.708,86.845,82.71,86.847,-0.188,-2.793e-6,0.188,-179.999,0.595,0.576,28.61,-80.6,9.792,2.554,0,2.255,-1.129e-4,3.742e4,1.036e4,72.339,0.103,381.035,353.53,1.752,0.243,2.849e7,3667.446,51.547,0.625,0.636,0.437,0.061,0.128,0.513,0.891,6.518e-5,0,0,0,0,0.008,0.011,15.7,193.593,89.677,0.002,4.752,14.739,1008.533,340.23,0.05,0.023
1.101,44.466,87.052,86.933,87.054,86.933,-0.218,-3.432e-6,0.218,-179.999,0.616,0.26,28.61,-80.6,9.792,2.136,0,2.708,-1.868e-4,3.732e4,1.026e4,72.221,0.103,384.121,353.253,1.966,0.256,2.997e7,3666.496,56.822,0.626,0.634,0.436,0.061,0.129,0.418,0.811,-1.158e-4,0,0,0,0,0.01,0.011,15.7,193.593,89.553,0.003,4.544,14.711,1008.035,340.214,0.05,0.023
1.151,48.928,91.4,87.009,91.402,87.009,-0.249,-4.046e-6,0.249,-179.999,0.622,0.028,28.61,-80.6,9.792,1.887,0,3.167,-3.05e-4,3.722e4,1.016e4,72.102,0.103,386.069,352.975,2.108,0.269,3.146e7,3665.547,62.507,0.626,0.633,0.436,0.061,0.129,0.363,0.753,-4.426e-4,0,0,0,0,0.013,0.012,15.7,193.593,89.406,0.003,4.583,14.682,1007.512,340.196,0.05,0.023
1.201,53.606,95.751,87.077,95.753,87.078,-0.28,-4.567e-6,0.28,-179.999,0.613,0.359,28.61,-80.6,9.792,1.662,4.601e-7,3.635,-1.892e-4,3.712e4,1.006e4,71.983,0.103,387.9,352.695,2.242,0.282,3.294e7,3664.595,68.497,0.627,0.632,0.436,0.061,0.13,0.315,0.692,-1.172e-4,0,0,0,0,0.015,0.012,15.7,193.593,89.236,0.004,4.669,14.652,1006.963,340.178,0.05,0.024
1.251,58.503,100.106,87.128,100.107,87.131,-0.31,-4.918e-6,0.31,-179.999,0.585,0.76,28.61,-80.6,9.792,1.419,0,4.099,-5.899e-5,3.703e4,9964.93,71.863,0.103,389.93,352.414,2.39,0.295,3.442e7,3663.361,74.767,0.628,0.632,0.435,0.061,0.131,0.265,0.616,1.493e-4,0,0,0,0,0.018,0.013,15.7,193.593,89.043,0.003,4.739,14.62,1006.389,340.158,0.05,0.024
1.301,63.617,104.462,87.163,104.463,87.172,-0.338,-5.05e-6,0.338,-179.999,0.534,1.294,28.61,-80.6,9.792,1.067,0,4.525,-3.745e-4,3.693e4,9866.99,71.743,0.103,392.972,352.131,2.601,0.307,3.591e7,3661.921,81.266,0.629,0.631,0.435,0.061,0.132,0.194,0.486,2.795e-4,0,0,0,0,0.02,0.013,15.7,193.593,88.827,0.003,4.619,14.586,1005.789,340.138,0.05,0.024
