,Mass (g),Motor mass (g),CG location (cm),Reference length (cm)
750,31820.0,4757.0,,
751,31820.0,4757.0,,
752,31820.0,4757.0,,
753,31820.0,4757.0,,
754,31820.0,4757.0,,
755,31820.0,4757.0,,
756,31820.0,4757.0,,
757,31820.0,4757.0,,
758,31820.0,4757.0,,
759,31820.0,4757.0,,
760,31820.0,4757.0,,
761,31820.0,4757.0,,
762,31820.0,4757.0,,
763,31820.0,4757.0,,
764,31820.0,4757.0,,
765,31820.0,4757.0,,
766,31820.0,4757.0,,
767,31820.0,4757.0,,
768,31820.0,4757.0,,
769,31820.0,4757.0,,
770,31820.0,4757.0,,
771,31820.0,4757.0,,
772,31820.0,4757.0,,
773,31820.0,4757.0,,
774,31820.0,4757.0,,
775,31820.0,4757.0,,
776,31820.0,4757.0,,
777,31820.0,4757.0,,
778,31820.0,4757.0,,
779,31820.0,4757.0,,
780,31820.0,4757.0,,
781,31820.0,4757.0,,
782,31820.0,4757.0,,
783,31820.0,4757.0,,
784,31820.0,4757.0,,
785,31820.0,4757.0,,
786,31820.0,4757.0,,
787,31820.0,4757.0,,
788,31820.0,4757.0,,
789,31820.0,4757.0,,
790,31820.0,4757.0,,
791,31820.0,4757.0,,
792,31820.0,4757.0,,
793,31820.0,4757.0,,
794,31820.0,4757.0,,
795,31820.0,4757.0,,
796,31820.0,4757.0,,
797,31820.0,4757.0,,
798,31820.0,4757.0,,
799,31820.0,4757.0,,
800,31820.0,4757.0,,
801,31820.0,4757.0,,
802,31820.0,4757.0,,
803,31820.0,4757.0,,
804,31820.0,4757.0,,
805,31820.0,4757.0,,
806,31820.0,4757.0,,
807,31820.0,4757.0,,
808,31820.0,4757.0,,
809,31820.0,4757.0,,
810,31820.0,4757.0,,
811,31820.0,4757.0,,
812,31820.0,4757.0,,
813,31820.0,4757.0,,
814,31820.0,4757.0,,
815,31820.0,4757.0,,
816,31820.0,4757.0,,
817,31820.0,4757.0,,
818,31820.0,4757.0,,
819,31820.0,4757.0,,
820,31820.0,4757.0,,
821,31820.0,4757.0,,
822,31820.0,4757.0,,
823,31820.0,4757.0,,
824,31820.0,4757.0,,
825,31820.0,4757.0,,
826,31820.0,4757.0,,
827,31820.0,4757.0,,
828,31820.0,4757.0,,
829,31820.0,4757.0,,
830,31820.0,4757.0,,
831,31820.0,4757.0,,
832,31820.0,4757.0,,
833,31820.0,4757.0,,
834,31820.0,4757.0,,
835,31820.0,4757.0,,
836,31820.0,4757.0,,
837,31820.0,4757.0,,
838,31820.0,4757.0,,
839,31820.0,4757.0,,
840,31820.0,4757.0,,
841,31820.0,4757.0,,
842,31820.0,4757.0,,
843,31820.0,4757.0,,
844,31820.0,4757.0,,
845,31820.0,4757.0,,
846,31820.0,4757.0,,
847,31820.0,4757.0,,
848,31820.0,4757.0,,
849,31820.0,4757.0,,
850,31820.0,4757.0,,
851,31820.0,4757.0,,
852,31820.0,4757.0,,
853,31820.0,4757.0,,
854,31820.0,4757.0,,
855,31820.0,4757.0,,
856,31820.0,4757.0,,
857,31820.0,4757.0,,
858,31820.0,4757.0,,
859,31820.0,4757.0,,
860,31820.0,4757.0,,
861,31820.0,4757.0,,
862,31820.0,4757.0,,
863,31820.0,4757.0,,
864,31820.0,4757.0,,
865,31820.0,4757.0,,
866,31820.0,4757.0,,
867,31820.0,4757.0,,
868,31820.0,4757.0,,
869,31820.0,4757.0,,
870,31820.0,4757.0,,
871,31820.0,4757.0,,
872,31820.0,4757.0,,
873,31820.0,4757.0,,
874,31820.0,4757.0,,
875,31820.0,4757.0,,
876,31820.0,4757.0,,
877,31820.0,4757.0,,
878,31820.0,4757.0,,
879,31820.0,4757.0,,
880,31820.0,4757.0,,
881,31820.0,4757.0,,
882,31820.0,4757.0,,
883,31820.0,4757.0,,
884,31820.0,4757.0,,
885,31820.0,4757.0,,
886,31820.0,4757.0,,
887,31820.0,4757.0,,
888,31820.0,4757.0,,
889,31820.0,4757.0,,
890,31820.0,4757.0,,
891,31820.0,4757.0,,
892,31820.0,4757.0,,
893,31820.0,4757.0,,
894,31820.0,4757.0,,
895,31820.0,4757.0,,
896,31820.0,4757.0,,
897,31820.0,4757.0,,
898,31820.0,4757.0,,
899,31820.0,4757.0,,
900,31820.0,4757.0,,
901,31820.0,4757.0,,
902,31820.0,4757.0,,
903,31820.0,4757.0,,
904,31820.0,4757.0,,
905,31820.0,4757.0,,
906,31820.0,4757.0,,
907,31820.0,4757.0,,
908,31820.0,4757.0,,
909,31820.0,4757.0,,
910,31820.0,4757.0,,
911,31820.0,4757.0,,
912,31820.0,4757.0,,
913,31820.0,4757.0,,
914,31820.0,4757.0,,
915,31820.0,4757.0,,
916,31820.0,4757.0,,
917,31820.0,4757.0,,
918,31820.0,4757.0,,
919,31820.0,4757.0,,
920,31820.0,4757.0,,
921,31820.0,4757.0,,
922,31820.0,4757.0,,
923,31820.0,4757.0,,
924,31820.0,4757.0,,
925,31820.0,4757.0,,
926,31820.0,4757.0,,
927,31820.0,4757.0,,
928,31820.0,4757.0,,
929,31820.0,4757.0,,
930,31820.0,4757.0,,
931,31820.0,4757.0,,
932,31820.0,4757.0,,
933,31820.0,4757.0,,
934,31820.0,4757.0,,
935,31820.0,4757.0,,
936,31820.0,4757.0,,
937,31820.0,4757.0,,
938,31820.0,4757.0,,
939,31820.0,4757.0,,
940,31820.0,4757.0,,
941,31820.0,4757.0,,
942,31820.0,4757.0,,
943,31820.0,4757.0,,
944,31820.0,4757.0,,
945,31820.0,4757.0,,
946,31820.0,4757.0,,
947,31820.0,4757.0,,
948,31820.0,4757.0,,
949,31820.0,4757.0,,
950,31820.0,4757.0,,
951,31820.0,4757.0,,
952,31820.0,4757.0,,
953,31820.0,4757.0,,
954,31820.0,4757.0,,
955,31820.0,4757.0,,
956,31820.0,4757.0,,
957,31820.0,4757.0,,
958,31820.0,4757.0,,
959,31820.0,4757.0,,
960,31820.0,4757.0,,
961,31820.0,4757.0,,
962,31820.0,4757.0,,
963,31820.0,4757.0,,
964,31820.0,4757.0,,
965,31820.0,4757.0,,
966,31820.0,4757.0,,
967,31820.0,4757.0,,
968,31820.0,4757.0,,
969,31820.0,4757.0,,
970,31820.0,4757.0,,
971,31820.0,4757.0,,
972,31820.0,4757.0,,
973,31820.0,4757.0,,
974,31820.0,4757.0,,
975,31820.0,4757.0,,
976,31820.0,4757.0,,
977,31820.0,4757.0,,
978,31820.0,4757.0,,
979,31820.0,4757.0,,
980,31820.0,4757.0,,
981,31820.0,4757.0,,
982,31820.0,4757.0,,
983,31820.0,4757.0,,
984,31820.0,4757.0,,
985,31820.0,4757.0,,
986,31820.0,4757.0,,
987,31820.0,4757.0,,
988,31820.0,4757.0,,
989,31820.0,4757.0,,
990,31820.0,4757.0,,
991,31820.0,4757.0,,
992,31820.0,4757.0,,
993,31820.0,4757.0,,
994,31820.0,4757.0,,
995,31820.0,4757.0,,
996,31820.0,4757.0,,
997,31820.0,4757.0,,
998,31820.0,4757.0,,
999,31820.0,4757.0,,
1000,31820.0,4757.0,,
1001,31820.0,4757.0,,
1002,31820.0,4757.0,,
1003,31820.0,4757.0,,
1004,31820.0,4757.0,,
1005,31820.0,4757.0,,
1006,31820.0,4757.0,,
1007,31820.0,4757.0,,
1008,31820.0,4757.0,,
1009,31820.0,4757.0,,
1010,31820.0,4757.0,,
1011,31820.0,4757.0,,
1012,31820.0,4757.0,,
1013,31820.0,4757.0,,
1014,31820.0,4757.0,,
1015,31820.0,4757.0,,
1016,31820.0,4757.0,,
1017,31820.0,4757.0,,
1018,31820.0,4757.0,,
1019,31820.0,4757.0,,
1020,31820.0,4757.0,,
1021,31820.0,4757.0,,
1022,31820.0,4757.0,,
1023,31820.0,4757.0,,
1024,31820.0,4757.0,,
1025,31820.0,4757.0,,
1026,31820.0,4757.0,,
1027,31820.0,4757.0,,
1028,31820.0,4757.0,,
1029,31820.0,4757.0,,
1030,31820.0,4757.0,,
1031,31820.0,4757.0,,
1032,31820.0,4757.0,,
1033,31820.0,4757.0,,
1034,31820.0,4757.0,,
1035,31820.0,4757.0,,
1036,31820.0,4757.0,,
1037,31820.0,4757.0,,
1038,31820.0,4757.0,,
1039,31820.0,4757.0,,
1040,31820.0,4757.0,,
1041,31820.0,4757.0,,
1042,31820.0,4757.0,,
1043,31820.0,4757.0,,
1044,31820.0,4757.0,,
1045,31820.0,4757.0,,
1046,31820.0,4757.0,,
1047,31820.0,4757.0,,
1048,31820.0,4757.0,,
1049,31820.0,4757.0,,
1050,31820.0,4757.0,,
1051,31820.0,4757.0,,
1052,31820.0,4757.0,,
1053,31820.0,4757.0,,
1054,31820.0,4757.0,,
1055,31820.0,4757.0,,
1056,31820.0,4757.0,,
1057,31820.0,4757.0,,
1058,31820.0,4757.0,,
1059,31820.0,4757.0,,
1060,31820.0,4757.0,,
1061,31820.0,4757.0,,
1062,31820.0,4757.0,,
1063,31820.0,4757.0,,
1064,31820.0,4757.0,,
1065,31820.0,4757.0,,
1066,31820.0,4757.0,,
1067,31820.0,4757.0,,
1068,31820.0,4757.0,,
1069,31820.0,4757.0,,
1070,31820.0,4757.0,,
1071,31820.0,4757.0,,
1072,31820.0,4757.0,,
1073,31820.0,4757.0,,
1074,31820.0,4757.0,,
1075,31820.0,4757.0,,
1076,31820.0,4757.0,,
1077,31820.0,4757.0,,
1078,31820.0,4757.0,,
1079,31820.0,4757.0,,
1080,31820.0,4757.0,,
1081,31820.0,4757.0,,
1082,31820.0,4757.0,,
1083,31820.0,4757.0,,
1084,31820.0,4757.0,,
1085,31820.0,4757.0,,
1086,31820.0,4757.0,,
1087,31820.0,4757.0,,
1088,31820.0,4757.0,,
1089,31820.0,4757.0,,
1090,31820.0,4757.0,,
1091,31820.0,4757.0,,
1092,31820.0,4757.0,,
1093,31820.0,4757.0,,
1094,31820.0,4757.0,,
1095,31820.0,4757.0,,
1096,31820.0,4757.0,,
1097,31820.0,4757.0,,
1098,31820.0,4757.0,,
1099,31820.0,4757.0,,
1100,31820.0,4757.0,,
1101,31820.0,4757.0,,
1102,31820.0,4757.0,,
1103,31820.0,4757.0,,
1104,31820.0,4757.0,,
1105,31820.0,4757.0,,
1106,31820.0,4757.0,,
1107,31820.0,4757.0,,
1108,31820.0,4757.0,,
1109,31820.0,4757.0,,
1110,31820.0,4757.0,,
1111,31820.0,4757.0,,
1112,31820.0,4757.0,,
1113,31820.0,4757.0,,
1114,31820.0,4757.0,,
1115,31820.0,4757.0,,
1116,31820.0,4757.0,,
1117,31820.0,4757.0,,
1118,31820.0,4757.0,,
1119,31820.0,4757.0,,
1120,31820.0,4757.0,,
1121,31820.0,4757.0,,
1122,31820.0,4757.0,,
1123,31820.0,4757.0,,
1124,31820.0,4757.0,,
1125,31820.0,4757.0,,
1126,31820.0,4757.0,,
1127,31820.0,4757.0,,
1128,31820.0,4757.0,,
1129,31820.0,4757.0,,
1130,31820.0,4757.0,,
1131,31820.0,4757.0,,
1132,31820.0,4757.0,,
