Mach Number,Alpha (deg),Protuberance (%),CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CN Total,CP Total
3.43,8.0,0.0,0.593,0.544,0.398,0.349,1.423,74.744
3.43,8.0,1.0,1.033,0.984,0.843,0.794,1.423,74.744
3.44,6.0,0.0,0.468,0.419,0.394,0.345,0.726,78.705
3.44,6.0,1.0,0.907,0.858,0.835,0.786,0.726,78.705
3.44,8.0,0.0,0.593,0.544,0.398,0.348,1.429,74.649
3.44,8.0,1.0,1.033,0.984,0.843,0.793,1.429,74.649
3.45,6.0,0.0,0.467,0.419,0.394,0.345,0.725,78.638
3.45,6.0,1.0,0.906,0.858,0.835,0.786,0.725,78.638
3.45,8.0,0.0,0.593,0.544,0.397,0.348,1.436,74.555
3.45,8.0,1.0,1.034,0.985,0.842,0.793,1.436,74.555
3.46,6.0,0.0,0.467,0.418,0.393,0.345,0.724,78.57
3.46,6.0,1.0,0.905,0.857,0.834,0.786,0.724,78.57
3.46,8.0,0.0,0.593,0.545,0.396,0.347,1.442,74.462
3.46,8.0,1.0,1.034,0.985,0.841,0.792,1.442,74.462
3.47,6.0,0.0,0.466,0.418,0.392,0.344,0.723,78.503
3.47,6.0,1.0,0.905,0.857,0.834,0.785,0.723,78.503
3.47,8.0,0.0,0.594,0.545,0.396,0.347,1.449,74.37
3.47,8.0,1.0,1.034,0.986,0.841,0.792,1.449,74.37
3.48,6.0,0.0,0.465,0.417,0.392,0.344,0.722,78.436
3.48,6.0,1.0,0.904,0.856,0.833,0.785,0.722,78.436
3.48,8.0,0.0,0.594,0.546,0.395,0.347,1.455,74.279
3.48,8.0,1.0,1.035,0.986,0.84,0.792,1.455,74.279
3.49,6.0,0.0,0.464,0.417,0.391,0.343,0.722,78.369
3.49,6.0,1.0,0.903,0.856,0.833,0.784,0.722,78.369
3.49,8.0,0.0,0.594,0.546,0.395,0.346,1.462,74.189
3.49,8.0,1.0,1.035,0.987,0.84,0.791,1.462,74.189
3.5,6.0,0.0,0.464,0.416,0.391,0.343,0.721,78.302
3.5,6.0,1.0,0.903,0.855,0.832,0.784,0.721,78.302
3.5,8.0,0.0,0.594,0.547,0.394,0.346,1.468,74.1
3.5,8.0,1.0,1.035,0.987,0.839,0.791,1.468,74.1
3.51,6.0,0.0,0.463,0.416,0.39,0.342,0.72,78.235
3.51,6.0,1.0,0.902,0.855,0.831,0.784,0.72,78.235
3.51,8.0,0.0,0.595,0.547,0.393,0.345,1.474,74.012
3.51,8.0,1.0,1.036,0.988,0.839,0.79,1.474,74.012
3.52,6.0,0.0,0.462,0.415,0.389,0.342,0.719,78.168
3.52,6.0,1.0,0.901,0.854,0.831,0.783,0.719,78.168
3.52,8.0,0.0,0.595,0.548,0.393,0.345,1.481,73.925
3.52,8.0,1.0,1.036,0.988,0.838,0.79,1.481,73.925
3.53,6.0,0.0,0.462,0.415,0.389,0.341,0.718,78.101
3.53,6.0,1.0,0.901,0.854,0.83,0.783,0.718,78.101
3.53,8.0,0.0,0.595,0.548,0.392,0.344,1.487,73.838
3.53,8.0,1.0,1.036,0.989,0.837,0.79,1.487,73.838
3.54,6.0,0.0,0.461,0.414,0.388,0.341,0.717,78.034
3.54,6.0,1.0,0.9,0.853,0.83,0.783,0.717,78.034
3.54,8.0,0.0,0.596,0.549,0.391,0.344,1.494,73.753
3.54,8.0,1.0,1.037,0.99,0.837,0.789,1.494,73.753
3.55,6.0,0.0,0.46,0.414,0.388,0.341,0.716,77.968
3.55,6.0,1.0,0.899,0.853,0.829,0.782,0.716,77.968
3.55,8.0,0.0,0.596,0.549,0.391,0.344,1.5,73.669
3.55,8.0,1.0,1.037,0.99,0.836,0.789,1.5,73.669
3.56,6.0,0.0,0.46,0.413,0.387,0.34,0.715,77.901
3.56,6.0,1.0,0.899,0.852,0.829,0.782,0.715,77.901
3.56,8.0,0.0,0.596,0.549,0.39,0.343,1.507,73.585
3.56,8.0,1.0,1.037,0.991,0.836,0.789,1.507,73.585
3.57,6.0,0.0,0.459,0.413,0.386,0.34,0.715,77.835
3.57,6.0,1.0,0.898,0.852,0.828,0.781,0.715,77.835
3.57,8.0,0.0,0.596,0.55,0.39,0.343,1.513,73.503
3.57,8.0,1.0,1.038,0.991,0.835,0.788,1.513,73.503
3.58,6.0,0.0,0.458,0.412,0.386,0.339,0.714,77.768
3.58,6.0,1.0,0.898,0.851,0.827,0.781,0.714,77.768
3.58,8.0,0.0,0.597,0.55,0.389,0.342,1.52,73.421
3.58,8.0,1.0,1.038,0.992,0.835,0.788,1.52,73.421
3.59,6.0,0.0,0.458,0.412,0.385,0.339,0.713,77.702
3.59,6.0,1.0,0.897,0.851,0.827,0.781,0.713,77.702
3.59,8.0,0.0,0.597,0.551,0.388,0.342,1.526,73.34
3.59,8.0,1.0,1.038,0.992,0.834,0.787,1.526,73.34
3.6,6.0,0.0,0.457,0.411,0.385,0.339,0.712,77.636
3.6,6.0,1.0,0.896,0.85,0.826,0.78,0.712,77.636
3.6,8.0,0.0,0.597,0.551,0.388,0.341,1.528,73.283
3.6,8.0,1.0,1.038,0.992,0.833,0.787,1.528,73.283
3.61,6.0,0.0,0.456,0.411,0.384,0.338,0.711,77.57
3.61,6.0,1.0,0.896,0.85,0.826,0.78,0.711,77.57
3.61,8.0,0.0,0.596,0.55,0.387,0.341,1.527,73.235
3.61,8.0,1.0,1.037,0.992,0.833,0.787,1.527,73.235
3.62,6.0,0.0,0.456,0.41,0.383,0.338,0.71,77.504
3.62,6.0,1.0,0.895,0.85,0.825,0.78,0.71,77.504
3.62,8.0,0.0,0.595,0.55,0.387,0.341,1.527,73.187
3.62,8.0,1.0,1.037,0.991,0.832,0.786,1.527,73.187
3.63,6.0,0.0,0.455,0.41,0.383,0.337,0.71,77.438
3.63,6.0,1.0,0.894,0.849,0.825,0.779,0.71,77.438
3.63,8.0,0.0,0.595,0.549,0.386,0.34,1.527,73.139
3.63,8.0,1.0,1.036,0.991,0.832,0.786,1.527,73.139
3.64,6.0,0.0,0.454,0.409,0.382,0.337,0.709,77.372
3.64,6.0,1.0,0.894,0.849,0.824,0.779,0.709,77.372
3.64,8.0,0.0,0.594,0.549,0.385,0.34,1.527,73.091
3.64,8.0,1.0,1.036,0.99,0.831,0.786,1.527,73.091
3.65,6.0,0.0,0.454,0.409,0.382,0.337,0.708,77.306
3.65,6.0,1.0,0.893,0.848,0.824,0.779,0.708,77.306
3.65,8.0,0.0,0.594,0.549,0.385,0.339,1.526,73.044
3.65,8.0,1.0,1.035,0.99,0.831,0.785,1.526,73.044
3.66,6.0,0.0,0.453,0.408,0.381,0.336,0.707,77.241
3.66,6.0,1.0,0.892,0.848,0.823,0.778,0.707,77.241
3.66,8.0,0.0,0.593,0.548,0.384,0.339,1.526,72.996
3.66,8.0,1.0,1.034,0.99,0.83,0.785,1.526,72.996
3.67,6.0,0.0,0.452,0.408,0.38,0.336,0.706,77.175
3.67,6.0,1.0,0.892,0.847,0.823,0.778,0.706,77.175
3.67,8.0,0.0,0.592,0.548,0.384,0.339,1.526,72.949
3.67,8.0,1.0,1.034,0.989,0.83,0.784,1.526,72.949
3.68,6.0,0.0,0.452,0.407,0.38,0.335,0.706,77.11
3.68,6.0,1.0,0.891,0.847,0.822,0.777,0.706,77.11
3.68,8.0,0.0,0.592,0.547,0.383,0.338,1.526,72.902
3.68,8.0,1.0,1.033,0.989,0.829,0.784,1.526,72.902
3.69,6.0,0.0,0.451,0.407,0.379,0.335,0.705,77.044
3.69,6.0,1.0,0.891,0.846,0.821,0.777,0.705,77.044
3.69,8.0,0.0,0.591,0.547,0.383,0.338,1.526,72.855
3.69,8.0,1.0,1.033,0.988,0.829,0.784,1.526,72.855
3.7,6.0,0.0,0.45,0.406,0.379,0.335,0.704,76.979
3.7,6.0,1.0,0.89,0.846,0.821,0.777,0.704,76.979
3.7,8.0,0.0,0.591,0.546,0.382,0.337,1.525,72.808
3.7,8.0,1.0,1.032,0.988,0.828,0.783,1.525,72.808
3.71,6.0,0.0,0.45,0.406,0.378,0.334,0.703,76.914
3.71,6.0,1.0,0.889,0.846,0.82,0.776,0.703,76.914
3.71,8.0,0.0,0.59,0.546,0.381,0.337,1.525,72.761
3.71,8.0,1.0,1.032,0.988,0.827,0.783,1.525,72.761
3.72,6.0,0.0,0.449,0.405,0.378,0.334,0.702,76.849
3.72,6.0,1.0,0.889,0.845,0.82,0.776,0.702,76.849
3.72,8.0,0.0,0.589,0.546,0.381,0.337,1.525,72.714
3.72,8.0,1.0,1.031,0.987,0.827,0.783,1.525,72.714
3.73,6.0,0.0,0.448,0.405,0.377,0.333,0.702,76.784
3.73,6.0,1.0,0.888,0.845,0.819,0.776,0.702,76.784
3.73,8.0,0.0,0.589,0.545,0.38,0.336,1.525,72.668
3.73,8.0,1.0,1.031,0.987,0.826,0.782,1.525,72.668
3.74,6.0,0.0,0.448,0.404,0.377,0.333,0.701,76.719
3.74,6.0,1.0,0.888,0.844,0.819,0.775,0.701,76.719
3.74,8.0,0.0,0.588,0.545,0.38,0.336,1.525,72.621
3.74,8.0,1.0,1.03,0.987,0.826,0.782,1.525,72.621
3.75,6.0,0.0,0.447,0.404,0.376,0.333,0.7,76.654
3.75,6.0,1.0,0.887,0.844,0.818,0.775,0.7,76.654
3.75,8.0,0.0,0.588,0.544,0.379,0.336,1.525,72.575
3.75,8.0,1.0,1.03,0.986,0.825,0.782,1.525,72.575
3.76,6.0,0.0,0.446,0.404,0.375,0.332,0.699,76.589
3.76,6.0,1.0,0.886,0.844,0.818,0.775,0.699,76.589
3.76,8.0,0.0,0.587,0.544,0.379,0.335,1.525,72.529
3.76,8.0,1.0,1.029,0.986,0.825,0.781,1.525,72.529
3.77,6.0,0.0,0.446,0.403,0.375,0.332,0.698,76.525
3.77,6.0,1.0,0.886,0.843,0.817,0.774,0.698,76.525
3.77,8.0,0.0,0.587,0.544,0.378,0.335,1.524,72.483
3.77,8.0,1.0,1.028,0.986,0.824,0.781,1.524,72.483
3.78,6.0,0.0,0.445,0.403,0.374,0.332,0.698,76.46
3.78,6.0,1.0,0.885,0.843,0.817,0.774,0.698,76.46
3.78,8.0,0.0,0.586,0.543,0.378,0.334,1.524,72.437
3.78,8.0,1.0,1.028,0.985,0.824,0.781,1.524,72.437
3.79,6.0,0.0,0.445,0.402,0.374,0.331,0.697,76.396
3.79,6.0,1.0,0.885,0.842,0.816,0.774,0.697,76.396
3.79,8.0,0.0,0.585,0.543,0.377,0.334,1.524,72.391
3.79,8.0,1.0,1.027,0.985,0.823,0.78,1.524,72.391
3.8,6.0,0.0,0.444,0.402,0.373,0.331,0.696,76.331
3.8,6.0,1.0,0.884,0.842,0.816,0.773,0.696,76.331
3.8,8.0,0.0,0.585,0.543,0.376,0.334,1.524,72.346
3.8,8.0,1.0,1.027,0.985,0.823,0.78,1.524,72.346
3.81,6.0,0.0,0.443,0.401,0.373,0.331,0.695,76.267
3.81,6.0,1.0,0.883,0.841,0.815,0.773,0.695,76.267
3.81,8.0,0.0,0.584,0.542,0.376,0.333,1.524,72.3
3.81,8.0,1.0,1.026,0.984,0.822,0.78,1.524,72.3
3.82,6.0,0.0,0.443,0.401,0.372,0.33,0.695,76.203
3.82,6.0,1.0,0.883,0.841,0.815,0.773,0.695,76.203
3.82,8.0,0.0,0.584,0.542,0.375,0.333,1.524,72.255
3.82,8.0,1.0,1.026,0.984,0.822,0.779,1.524,72.255
3.83,6.0,0.0,0.442,0.401,0.372,0.33,0.695,76.124
3.83,6.0,1.0,0.882,0.841,0.814,0.772,0.695,76.124
3.83,8.0,0.0,0.583,0.541,0.375,0.333,1.524,72.21
3.83,8.0,1.0,1.025,0.984,0.821,0.779,1.524,72.21
3.84,6.0,0.0,0.442,0.401,0.371,0.329,0.698,76.014
3.84,6.0,1.0,0.882,0.841,0.814,0.772,0.698,76.014
3.84,8.0,0.0,0.583,0.541,0.374,0.332,1.524,72.165
3.84,8.0,1.0,1.025,0.983,0.821,0.779,1.524,72.165
3.85,6.0,0.0,0.442,0.4,0.371,0.329,0.7,75.905
3.85,6.0,1.0,0.882,0.841,0.813,0.772,0.7,75.905
3.85,8.0,0.0,0.582,0.541,0.374,0.332,1.524,72.12
3.85,8.0,1.0,1.024,0.983,0.82,0.778,1.524,72.12
3.86,6.0,0.0,0.441,0.4,0.37,0.329,0.703,75.797
3.86,6.0,1.0,0.882,0.841,0.813,0.771,0.703,75.797
3.86,8.0,0.0,0.582,0.54,0.373,0.332,1.524,72.075
3.86,8.0,1.0,1.024,0.982,0.82,0.778,1.524,72.075
3.87,6.0,0.0,0.441,0.4,0.37,0.328,0.705,75.69
3.87,6.0,1.0,0.881,0.84,0.812,0.771,0.705,75.69
3.87,8.0,0.0,0.581,0.54,0.373,0.331,1.524,72.03
3.87,8.0,1.0,1.023,0.982,0.819,0.778,1.524,72.03
3.88,6.0,0.0,0.441,0.4,0.369,0.328,0.708,75.585
3.88,6.0,1.0,0.881,0.84,0.812,0.771,0.708,75.585
3.88,8.0,0.0,0.581,0.54,0.372,0.331,1.524,71.985
3.88,8.0,1.0,1.023,0.982,0.819,0.777,1.524,71.985
3.89,6.0,0.0,0.441,0.4,0.368,0.327,0.71,75.486
3.89,6.0,1.0,0.881,0.84,0.811,0.77,0.71,75.486
3.89,8.0,0.0,0.58,0.539,0.372,0.33,1.524,71.945
3.89,8.0,1.0,1.022,0.981,0.818,0.777,1.524,71.945
3.9,6.0,0.0,0.44,0.4,0.368,0.327,0.713,75.389
3.9,6.0,1.0,0.881,0.84,0.811,0.77,0.713,75.389
3.9,8.0,0.0,0.58,0.539,0.371,0.33,1.524,71.905
3.9,8.0,1.0,1.022,0.981,0.818,0.776,1.524,71.905
3.91,6.0,0.0,0.44,0.4,0.367,0.327,0.715,75.293
3.91,6.0,1.0,0.881,0.84,0.81,0.769,0.715,75.293
3.91,8.0,0.0,0.579,0.538,0.371,0.329,1.524,71.865
3.91,8.0,1.0,1.021,0.981,0.817,0.776,1.524,71.865
3.92,6.0,0.0,0.44,0.399,0.367,0.326,0.718,75.197
3.92,6.0,1.0,0.88,0.84,0.81,0.769,0.718,75.197
3.92,8.0,0.0,0.579,0.538,0.37,0.329,1.524,71.825
3.92,8.0,1.0,1.021,0.98,0.817,0.776,1.524,71.825
3.93,6.0,0.0,0.44,0.399,0.366,0.326,0.72,75.103
3.93,6.0,1.0,0.88,0.84,0.809,0.769,0.72,75.103
3.93,8.0,0.0,0.578,0.538,0.37,0.329,1.524,71.786
3.93,8.0,1.0,1.02,0.98,0.816,0.775,1.524,71.786
3.94,6.0,0.0,0.439,0.399,0.366,0.325,0.723,75.01
3.94,6.0,1.0,0.88,0.84,0.809,0.768,0.723,75.01
3.94,8.0,0.0,0.578,0.537,0.369,0.328,1.524,71.746
3.94,8.0,1.0,1.02,0.98,0.816,0.775,1.524,71.746
3.95,6.0,0.0,0.439,0.399,0.365,0.325,0.725,74.917
3.95,6.0,1.0,0.88,0.84,0.808,0.768,0.725,74.917
3.95,8.0,0.0,0.577,0.537,0.369,0.328,1.524,71.707
3.95,8.0,1.0,1.019,0.979,0.815,0.775,1.524,71.707
3.96,6.0,0.0,0.439,0.399,0.365,0.325,0.728,74.825
3.96,6.0,1.0,0.879,0.839,0.808,0.768,0.728,74.825
3.96,8.0,0.0,0.577,0.536,0.368,0.327,1.524,71.668
3.96,8.0,1.0,1.019,0.979,0.815,0.774,1.524,71.668
3.97,6.0,0.0,0.439,0.399,0.364,0.324,0.73,74.734
3.97,6.0,1.0,0.879,0.839,0.807,0.767,0.73,74.734
3.97,8.0,0.0,0.576,0.536,0.367,0.327,1.524,71.629
3.97,8.0,1.0,1.018,0.978,0.814,0.774,1.524,71.629
3.98,6.0,0.0,0.438,0.399,0.364,0.324,0.733,74.644
3.98,6.0,1.0,0.879,0.839,0.807,0.767,0.733,74.644
3.98,8.0,0.0,0.576,0.536,0.367,0.327,1.524,71.59
3.98,8.0,1.0,1.018,0.978,0.814,0.773,1.524,71.59
3.99,6.0,0.0,0.438,0.399,0.363,0.324,0.735,74.555
3.99,6.0,1.0,0.879,0.839,0.806,0.767,0.735,74.555
3.99,8.0,0.0,0.575,0.535,0.366,0.326,1.524,71.551
3.99,8.0,1.0,1.018,0.978,0.813,0.773,1.524,71.551
4.0,6.0,0.0,0.438,0.399,0.363,0.323,0.738,74.467
4.0,6.0,1.0,0.879,0.839,0.806,0.766,0.738,74.467
4.0,8.0,0.0,0.575,0.535,0.366,0.326,1.525,71.512
4.0,8.0,1.0,1.017,0.977,0.813,0.773,1.525,71.512
4.01,6.0,0.0,0.438,0.398,0.362,0.323,0.74,74.379
4.01,6.0,1.0,0.878,0.839,0.805,0.766,0.74,74.379
4.01,8.0,0.0,0.574,0.535,0.365,0.326,1.525,71.474
4.01,8.0,1.0,1.017,0.977,0.812,0.772,1.525,71.474
4.02,6.0,0.0,0.438,0.398,0.362,0.322,0.743,74.292
4.02,6.0,1.0,0.878,0.839,0.805,0.765,0.743,74.292
4.02,8.0,0.0,0.574,0.534,0.365,0.325,1.525,71.435
4.02,8.0,1.0,1.016,0.977,0.812,0.772,1.525,71.435
4.03,6.0,0.0,0.437,0.398,0.361,0.322,0.746,74.206
4.03,6.0,1.0,0.878,0.839,0.804,0.765,0.746,74.206
4.03,8.0,0.0,0.573,0.534,0.364,0.325,1.525,71.397
4.03,8.0,1.0,1.016,0.976,0.811,0.772,1.525,71.397
4.04,6.0,0.0,0.437,0.398,0.361,0.322,0.748,74.121
4.04,6.0,1.0,0.878,0.839,0.804,0.765,0.748,74.121
4.04,8.0,0.0,0.573,0.534,0.364,0.324,1.525,71.359
4.04,8.0,1.0,1.015,0.976,0.811,0.771,1.525,71.359
4.05,6.0,0.0,0.437,0.398,0.36,0.321,0.751,74.037
4.05,6.0,1.0,0.878,0.839,0.803,0.764,0.751,74.037
4.05,8.0,0.0,0.572,0.533,0.363,0.324,1.525,71.321
4.05,8.0,1.0,1.015,0.976,0.81,0.771,1.525,71.321
4.06,6.0,0.0,0.437,0.398,0.36,0.321,0.753,73.953
4.06,6.0,1.0,0.877,0.839,0.803,0.764,0.753,73.953
4.06,8.0,0.0,0.572,0.533,0.363,0.324,1.525,71.283
4.06,8.0,1.0,1.014,0.975,0.81,0.771,1.525,71.283
4.07,6.0,0.0,0.436,0.398,0.359,0.321,0.756,73.87
4.07,6.0,1.0,0.877,0.838,0.803,0.764,0.756,73.87
4.07,8.0,0.0,0.571,0.532,0.363,0.323,1.526,71.245
4.07,8.0,1.0,1.014,0.975,0.809,0.77,1.526,71.245
4.08,6.0,0.0,0.436,0.398,0.359,0.32,0.758,73.788
4.08,6.0,1.0,0.877,0.838,0.802,0.763,0.758,73.788
4.08,8.0,0.0,0.571,0.532,0.362,0.323,1.526,71.208
4.08,8.0,1.0,1.013,0.975,0.809,0.77,1.526,71.208
4.09,6.0,0.0,0.436,0.398,0.358,0.32,0.761,73.707
4.09,6.0,1.0,0.877,0.838,0.802,0.763,0.761,73.707
4.09,8.0,0.0,0.57,0.532,0.362,0.323,1.526,71.17
4.09,8.0,1.0,1.013,0.974,0.809,0.77,1.526,71.17
4.1,6.0,0.0,0.436,0.398,0.358,0.319,0.764,73.626
4.1,6.0,1.0,0.877,0.838,0.801,0.763,0.764,73.626
4.1,8.0,0.0,0.57,0.531,0.361,0.322,1.526,71.133
4.1,8.0,1.0,1.013,0.974,0.808,0.769,1.526,71.133
4.11,6.0,0.0,0.436,0.397,0.358,0.319,0.766,73.547
4.11,6.0,1.0,0.876,0.838,0.801,0.762,0.766,73.547
4.11,8.0,0.0,0.57,0.531,0.361,0.322,1.526,71.096
4.11,8.0,1.0,1.012,0.974,0.808,0.769,1.526,71.096
4.12,6.0,0.0,0.435,0.397,0.357,0.319,0.769,73.467
4.12,6.0,1.0,0.876,0.838,0.8,0.762,0.769,73.467
4.12,8.0,0.0,0.569,0.531,0.36,0.321,1.527,71.059
4.12,8.0,1.0,1.012,0.973,0.807,0.769,1.527,71.059
4.13,6.0,0.0,0.435,0.397,0.357,0.318,0.771,73.389
4.13,6.0,1.0,0.876,0.838,0.8,0.762,0.771,73.389
4.13,8.0,0.0,0.569,0.531,0.36,0.321,1.527,71.022
4.13,8.0,1.0,1.011,0.973,0.807,0.768,1.527,71.022
4.14,6.0,0.0,0.435,0.397,0.356,0.318,0.774,73.311
4.14,6.0,1.0,0.876,0.838,0.799,0.761,0.774,73.311
4.14,8.0,0.0,0.568,0.53,0.359,0.321,1.527,70.985
4.14,8.0,1.0,1.011,0.973,0.806,0.768,1.527,70.985
4.15,6.0,0.0,0.435,0.397,0.356,0.318,0.777,73.235
4.15,6.0,1.0,0.876,0.838,0.799,0.761,0.777,73.235
4.15,8.0,0.0,0.568,0.53,0.359,0.32,1.527,70.948
4.15,8.0,1.0,1.01,0.973,0.806,0.767,1.527,70.948
4.16,6.0,0.0,0.435,0.397,0.355,0.317,0.779,73.158
4.16,6.0,1.0,0.875,0.838,0.798,0.761,0.779,73.158
4.16,8.0,0.0,0.567,0.53,0.358,0.32,1.528,70.912
4.16,8.0,1.0,1.01,0.972,0.805,0.767,1.528,70.912
4.17,6.0,0.0,0.434,0.397,0.355,0.317,0.782,73.083
4.17,6.0,1.0,0.875,0.838,0.798,0.76,0.782,73.083
4.17,8.0,0.0,0.567,0.529,0.358,0.32,1.528,70.876
4.17,8.0,1.0,1.01,0.972,0.805,0.767,1.528,70.876
4.18,6.0,0.0,0.434,0.397,0.354,0.317,0.784,73.008
4.18,6.0,1.0,0.875,0.838,0.798,0.76,0.784,73.008
4.18,8.0,0.0,0.566,0.529,0.357,0.319,1.528,70.839
4.18,8.0,1.0,1.009,0.972,0.804,0.766,1.528,70.839
4.19,6.0,0.0,0.434,0.397,0.354,0.316,0.787,72.934
4.19,6.0,1.0,0.875,0.838,0.797,0.76,0.787,72.934
4.19,8.0,0.0,0.566,0.529,0.357,0.319,1.528,70.803
4.19,8.0,1.0,1.009,0.971,0.804,0.766,1.528,70.803
4.2,6.0,0.0,0.434,0.397,0.353,0.316,0.79,72.86
4.2,6.0,1.0,0.875,0.838,0.797,0.759,0.79,72.86
4.2,8.0,0.0,0.566,0.528,0.356,0.319,1.529,70.767
4.2,8.0,1.0,1.008,0.971,0.803,0.766,1.529,70.767
4.21,6.0,0.0,0.434,0.397,0.353,0.316,0.792,72.787
4.21,6.0,1.0,0.875,0.838,0.796,0.759,0.792,72.787
4.21,8.0,0.0,0.565,0.528,0.356,0.318,1.529,70.731
4.21,8.0,1.0,1.008,0.971,0.803,0.765,1.529,70.731
4.22,6.0,0.0,0.434,0.397,0.352,0.315,0.795,72.715
4.22,6.0,1.0,0.874,0.838,0.796,0.759,0.795,72.715
4.22,8.0,0.0,0.565,0.528,0.355,0.318,1.529,70.696
4.22,8.0,1.0,1.008,0.971,0.803,0.765,1.529,70.696
4.23,6.0,0.0,0.433,0.397,0.352,0.315,0.798,72.644
4.23,6.0,1.0,0.874,0.838,0.795,0.758,0.798,72.644
4.23,8.0,0.0,0.564,0.527,0.355,0.318,1.53,70.66
4.23,8.0,1.0,1.007,0.97,0.802,0.765,1.53,70.66
4.24,6.0,0.0,0.433,0.397,0.351,0.315,0.8,72.573
4.24,6.0,1.0,0.874,0.837,0.795,0.758,0.8,72.573
4.24,8.0,0.0,0.564,0.527,0.355,0.317,1.53,70.625
4.24,8.0,1.0,1.007,0.97,0.802,0.765,1.53,70.625
4.25,6.0,0.0,0.433,0.396,0.351,0.314,0.803,72.503
4.25,6.0,1.0,0.874,0.837,0.794,0.758,0.803,72.503
4.25,8.0,0.0,0.564,0.527,0.354,0.317,1.53,70.589
4.25,8.0,1.0,1.006,0.97,0.801,0.764,1.53,70.589
4.26,6.0,0.0,0.433,0.396,0.351,0.314,0.805,72.433
4.26,6.0,1.0,0.874,0.837,0.794,0.757,0.805,72.433
4.26,8.0,0.0,0.563,0.527,0.354,0.317,1.531,70.554
4.26,8.0,1.0,1.006,0.969,0.801,0.764,1.531,70.554
4.27,6.0,0.0,0.433,0.396,0.35,0.314,0.808,72.364
4.27,6.0,1.0,0.874,0.837,0.794,0.757,0.808,72.364
4.27,8.0,0.0,0.563,0.526,0.353,0.316,1.531,70.519
4.27,8.0,1.0,1.006,0.969,0.8,0.764,1.531,70.519
4.28,6.0,0.0,0.433,0.396,0.35,0.313,0.811,72.296
4.28,6.0,1.0,0.874,0.837,0.793,0.757,0.811,72.296
4.28,8.0,0.0,0.562,0.526,0.353,0.316,1.531,70.484
4.28,8.0,1.0,1.005,0.969,0.8,0.763,1.531,70.484
4.29,6.0,0.0,0.432,0.396,0.349,0.313,0.813,72.228
4.29,6.0,1.0,0.873,0.837,0.793,0.756,0.813,72.228
4.29,8.0,0.0,0.562,0.526,0.352,0.316,1.532,70.45
4.29,8.0,1.0,1.005,0.969,0.799,0.763,1.532,70.45
4.3,6.0,0.0,0.432,0.396,0.349,0.313,0.816,72.161
4.3,6.0,1.0,0.873,0.837,0.792,0.756,0.816,72.161
4.3,8.0,0.0,0.562,0.525,0.352,0.315,1.532,70.415
4.3,8.0,1.0,1.005,0.968,0.799,0.763,1.532,70.415
4.31,6.0,0.0,0.432,0.396,0.348,0.312,0.819,72.095
4.31,6.0,1.0,0.873,0.837,0.792,0.756,0.819,72.095
4.31,8.0,0.0,0.561,0.525,0.351,0.315,1.532,70.38
4.31,8.0,1.0,1.004,0.968,0.799,0.762,1.532,70.38
4.32,6.0,0.0,0.432,0.396,0.348,0.312,0.821,72.029
4.32,6.0,1.0,0.873,0.837,0.791,0.755,0.821,72.029
4.32,8.0,0.0,0.561,0.525,0.351,0.315,1.531,70.351
4.32,8.0,1.0,1.004,0.968,0.798,0.762,1.531,70.351
4.33,6.0,0.0,0.432,0.396,0.347,0.312,0.824,71.963
4.33,6.0,1.0,0.873,0.837,0.791,0.755,0.824,71.963
4.33,8.0,0.0,0.56,0.524,0.35,0.314,1.53,70.319
4.33,8.0,1.0,1.003,0.967,0.798,0.762,1.53,70.319
4.34,6.0,0.0,0.432,0.396,0.347,0.311,0.827,71.899
4.34,6.0,1.0,0.873,0.837,0.791,0.755,0.827,71.899
4.34,8.0,0.0,0.56,0.524,0.35,0.314,1.53,70.288
4.34,8.0,1.0,1.002,0.967,0.797,0.761,1.53,70.288
4.35,6.0,0.0,0.431,0.396,0.347,0.311,0.829,71.835
4.35,6.0,1.0,0.872,0.837,0.79,0.755,0.829,71.835
4.35,8.0,0.0,0.559,0.523,0.35,0.314,1.529,70.257
4.35,8.0,1.0,1.002,0.966,0.797,0.761,1.529,70.257
4.36,6.0,0.0,0.431,0.396,0.346,0.311,0.832,71.771
4.36,6.0,1.0,0.872,0.837,0.79,0.754,0.832,71.771
4.36,8.0,0.0,0.558,0.523,0.349,0.313,1.528,70.227
4.36,8.0,1.0,1.001,0.966,0.796,0.761,1.528,70.227
4.37,6.0,0.0,0.431,0.396,0.346,0.31,0.835,71.708
4.37,6.0,1.0,0.872,0.837,0.789,0.754,0.835,71.708
4.37,8.0,0.0,0.558,0.523,0.349,0.313,1.527,70.196
4.37,8.0,1.0,1.001,0.966,0.796,0.76,1.527,70.196
4.38,6.0,0.0,0.431,0.396,0.345,0.31,0.837,71.646
4.38,6.0,1.0,0.872,0.837,0.789,0.754,0.837,71.646
4.38,8.0,0.0,0.557,0.522,0.348,0.313,1.527,70.165
4.38,8.0,1.0,1.0,0.965,0.796,0.76,1.527,70.165
4.39,6.0,0.0,0.431,0.396,0.345,0.31,0.84,71.584
4.39,6.0,1.0,0.872,0.837,0.788,0.753,0.84,71.584
4.39,8.0,0.0,0.557,0.522,0.348,0.312,1.526,70.135
4.39,8.0,1.0,1.0,0.965,0.795,0.76,1.526,70.135
4.4,6.0,0.0,0.431,0.396,0.344,0.31,0.843,71.522
